state,senator,Lat,Lon
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
AL,Tommy Tuberville,32.3182,-86.9023
